@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric
@attribute GameStage {pf,fp,tn,rv}

@data
c,20,1,1,false,b1,k,741888,false,1,tn
b2,28,2,1,false,k,c,750880,false,1,rv
f,8,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
c,56,1,1,false,b2,b2,0,false,1,pf
f,124,1,2,false,b1,c,17338368,false,1,fp
b2,4,1,0,true,c,?,0,false,1,pf
k,28,1,0,true,c,b2,688896,false,1,fp
b1,28,2,0,true,k,k,829488,false,1,tn
k,32,2,0,true,c,b1,829490,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,816384,false,1,fp
f,22,1,1,false,b2,k,816720,false,1,tn
k,4,0,0,true,c,?,0,false,1,pf
k,4,0,0,true,c,k,829440,false,1,fp
k,4,0,0,true,k,k,17353216,false,1,tn
b1,4,1,0,true,k,k,17353232,false,1,rv
c,3,0,0,false,?,?,0,false,1,pf
k,4,0,0,false,k,c,659456,false,1,fp
k,4,0,0,false,k,k,680192,false,1,tn
k,4,0,0,false,k,k,693776,false,1,rv
f,9,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,17432576,false,1,fp
f,21,1,1,false,b2,k,17469440,false,1,tn
f,7,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
f,7,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
f,7,0,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
b2,12,1,1,false,b2,c,0,false,1,pf
c,9,0,1,true,b2,?,0,false,1,pf
k,14,0,1,true,b2,c,413952,false,1,fp
c,25,0,2,true,b2,k,413952,false,1,fp
k,36,0,2,true,b2,c,615696,false,1,tn
c,67,0,3,true,b2,k,615696,false,1,tn
k,98,0,3,true,b2,c,693841,false,1,rv
f,136,0,4,true,b1,k,693841,false,1,rv
c,3,0,0,false,?,?,0,false,1,pf
b1,4,1,0,false,k,c,623360,false,1,fp
b2,4,1,0,false,?,?,0,false,1,pf
k,4,0,0,true,c,?,0,false,1,pf
k,4,0,0,true,c,k,553984,false,1,fp
c,8,0,1,true,b2,k,553984,false,1,fp
k,12,0,1,true,b2,c,553984,false,1,tn
b2,12,1,1,true,k,k,554304,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
b2,4,1,0,true,c,?,0,false,1,pf
k,12,1,0,true,c,b2,17190912,false,1,fp
k,12,1,0,true,k,k,17191680,false,1,tn
b2,12,2,0,true,k,k,17212720,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
f,8,0,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
k,4,0,0,false,k,c,733184,false,1,fp
k,4,0,0,false,k,k,738048,false,1,tn
b1,4,1,0,false,k,k,750640,false,1,rv
f,9,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
f,9,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
f,8,0,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
c,9,0,1,false,b2,c,0,false,1,pf
k,14,0,1,false,k,c,17395712,false,1,fp
f,24,0,2,false,b2,k,17395968,false,1,tn
k,4,0,0,true,c,?,0,false,1,pf
k,4,0,0,true,c,k,16912384,false,1,fp
k,4,0,0,true,k,k,16920832,false,1,tn
b2,10,1,1,true,b2,k,16920832,false,1,tn
f,71,1,2,true,b2,b2,16920832,false,1,tn
c,3,0,0,false,?,?,0,false,1,pf
c,9,0,1,false,b2,c,0,false,1,pf
f,27,0,2,false,b2,c,820480,false,1,fp
f,7,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
c,28,1,1,false,b2,b2,0,false,1,pf
f,69,1,2,false,b1,c,816384,false,1,fp
f,9,0,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,754944,false,1,fp
b2,14,1,1,true,b2,?,0,false,1,pf
f,3,0,0,false,?,?,0,false,1,pf
f,3,0,0,false,?,?,0,false,1,pf
f,7,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
k,4,0,0,true,c,?,0,false,1,pf
k,4,0,0,true,c,k,549120,false,1,fp
k,4,0,0,true,k,k,549392,false,1,tn
c,7,0,1,true,b2,k,549392,false,1,tn
k,10,0,1,true,b2,c,17203728,false,1,rv
f,14,0,2,true,b1,k,17203728,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
f,9,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
f,7,0,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
c,10,0,1,false,b2,c,0,false,1,pf
f,30,0,2,false,b2,c,829696,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
k,14,0,1,true,b2,c,483840,false,1,fp
c,25,0,2,true,b2,k,483840,false,1,fp
k,36,0,2,true,b2,c,554528,false,1,tn
f,68,0,3,true,b2,k,554528,false,1,tn
c,3,0,0,false,?,?,0,false,1,pf
c,9,0,1,false,b2,c,0,false,1,pf
k,14,0,1,false,k,c,807424,false,1,fp
k,14,0,1,false,k,k,17584640,false,1,tn
b1,20,1,2,false,b1,k,17605920,false,1,rv
k,4,0,0,true,c,?,0,false,1,pf
k,4,0,0,true,c,k,17178624,false,1,fp
c,7,0,1,true,b2,k,17178624,false,1,fp
k,10,0,1,true,b2,c,17187328,false,1,tn
k,10,0,1,true,k,k,17212448,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
c,28,1,1,false,b2,b2,0,false,1,pf
b1,44,2,1,false,k,c,623360,false,1,fp
k,72,2,1,false,k,b1,623392,false,1,tn
